File Name,Detected Extension,Full Path,Magic Bytes (First 50 Bytes - Hex)
File018,PDF,C:\Users\dj_za\AppData\Local\Temp\vmware-dj_za\VMwareDnD\d50273d1\Test File Ext\File018,255044462d312e350a25f6e4fcdf0a312030206f626a0a3c3c0a2f54797065202f436174616c6f670a2f5061676573203220
File018,PDF,C:\Users\dj_za\OneDrive\Desktop\Test File Ext\File018,255044462d312e350a25f6e4fcdf0a312030206f626a0a3c3c0a2f54797065202f436174616c6f670a2f5061676573203220
File018,PDF,E:\Users\dchoi\Documents\File\File018,255044462d312e350a25f6e4fcdf0a312030206f626a0a3c3c0a2f54797065202f436174616c6f670a2f5061676573203220
File022,PDF,E:\Users\dchoi\Documents\File\File022,255044462d312e370a25f6e4fcdf0a312030206f626a0a3c3c0a2f50616765732032203020520a2f54797065202f43617461
File066,PDF,E:\Users\dchoi\Documents\File\File066,255044462d312e370a25e2e3cfd30a362030206f626a0a3c3c2f46696c7465722f466c6174654465636f64652f4c656e6774
File084,PDF,E:\Users\dchoi\Documents\File\File084,255044462d312e330a25e2e3cfd30a312030206f626a0a3c3c0a2f54797065202f50616765730a2f436f756e742033330a2f
File103,PDF,E:\Users\dchoi\Documents\File\File103,255044462d312e340a25f6e4fcdf0a312030206f626a0a3c3c0a2f54797065202f436174616c6f670a2f56657273696f6e20
File114,PDF,E:\Users\dchoi\Documents\File\File114,255044462d312e330a25e2e3cfd30a312030206f626a0a3c3c0a2f54797065202f50616765730a2f436f756e742032300a2f
File123,PDF,E:\Users\dchoi\Documents\File\File123,255044462d312e350d0a25b5b5b5b50d0a312030206f626a0d0a3c3c2f547970652f436174616c6f672f5061676573203220
File129,PDF,E:\Users\dchoi\Documents\File\File129,255044462d312e330a25e2e3cfd30a312030206f626a0a3c3c0a2f54797065202f50616765730a2f436f756e742031390a2f
File132,PDF,E:\Users\dchoi\Documents\File\File132,255044462d312e360d25e2e3cfd30d0a3433312030206f626a0d3c3c2f4c696e656172697a656420312f4c20353838313532
File135,PDF,E:\Users\dchoi\Documents\File\File135,255044462d312e370d25e2e3cfd30d0a312030206f626a0a3c3c2f4163726f466f726d2035203020522f4c616e6728656e29
File138,PDF,E:\Users\dchoi\Documents\File\File138,255044462d312e370a25e2e3cfd30a312030206f626a0a3c3c2f436f6c6f7253706163652f446576696365477261792f5375
File156,PDF,E:\Users\dchoi\Documents\File\File156,255044462d312e370a25f6e4fcdf0a312030206f626a0a3c3c0a2f54797065202f436174616c6f670a2f5061676573203220
File182,PDF,E:\Users\dchoi\Documents\File\File182,255044462d312e340d25e2e3cfd30d0a313231332030206f626a0d3c3c2f4c696e656172697a656420312f4c203439303836
File199,PDF,E:\Users\dchoi\Documents\File\File199,255044462d312e370d0a25b5b5b5b50d0a312030206f626a0d0a3c3c2f547970652f436174616c6f672f5061676573203220
File209,PDF,E:\Users\dchoi\Documents\File\File209,255044462d312e330a25e2e3cfd30a312030206f626a0a3c3c0a2f54797065202f50616765730a2f436f756e742031340a2f
File019,PNG,C:\Users\dj_za\AppData\Local\Temp\vmware-dj_za\VMwareDnD\d50273d1\Test File Ext\File019,89504e470d0a1a0a0000000d4948445200000388000004ec0806000000c272ac0c0001000049444154789cecfd79b025d779
File019,PNG,C:\Users\dj_za\OneDrive\Desktop\Test File Ext\File019,89504e470d0a1a0a0000000d4948445200000388000004ec0806000000c272ac0c0001000049444154789cecfd79b025d779
File008,PNG,E:\Users\dchoi\Documents\File\File008,89504e470d0a1a0a0000000d4c454e5a00000388000004ec0806000000c272ac0c0001000049444154789cecfd799c6dd975
File009,PNG,E:\Users\dchoi\Documents\File\File009,89504e470d0a1a0a0000000d4948445200000388000004ec0806000000c272ac0c0001000049444154789cecfd5993243992
File019,PNG,E:\Users\dchoi\Documents\File\File019,89504e470d0a1a0a0000000d4948445200000388000004ec0806000000c272ac0c0001000049444154789cecfd79b025d779
File036,PNG,E:\Users\dchoi\Documents\File\File036,89504e470d0a1a0a0000000d4948445200000388000004ec0806000000c272ac0c0001000049444154789cecfd69b0655976
File041,PNG,E:\Users\dchoi\Documents\File\File041,89504e470d0a1a0a0000000d4948445200000388000004ec0806000000c272ac0c0001000049444154789cecfde992244b92
File059,PNG,E:\Users\dchoi\Documents\File\File059,89504e470d0a1a0a0000000d4948445200000388000004ec0806000000c272ac0c0001000049444154789cecfde9b36d4976
File068,PNG,E:\Users\dchoi\Documents\File\File068,89504e470d0a1a0a0000000d4948445200000388000004ec0806000000c272ac0c0001000049444154789cecfd59af244b92
File069,PNG,E:\Users\dchoi\Documents\File\File069,89504e470d0a1a0ae000104a46494600010100000100010000ffdb004300080606070605080707070909080a0c140d0c0b0b
File070,PNG,E:\Users\dchoi\Documents\File\File070,89504e470d0a1a0a0000000d4948445200000388000004ec0806000000c272ac0c0001000049444154789cecfd49b3654b76
File072,PNG,E:\Users\dchoi\Documents\File\File072,89504e470d0a1a0a0000000d4948445200000388000004ec0806000000c272ac0c0001000049444154789cecfd699725c971
File098,PNG,E:\Users\dchoi\Documents\File\File098,89504e470d0a1a0a0000000d4948445200000388000004ec0806000000c272ac0c0001000049444154789cecfd69ac6ddb75
File105,PNG,E:\Users\dchoi\Documents\File\File105,89504e470d0a1a0a0000000d4948445200000388000004ec0806000000c272ac0c0001000049444154789cecfdf993245b76
File108,PNG,E:\Users\dchoi\Documents\File\File108,89504e470d0a1a0a0000000d4948445200000388000004ec0806000000c272ac0c0001000049444154789cecfde9b22c4992
File125,PNG,E:\Users\dchoi\Documents\File\File125,89504e470d0a1a0a0000000d4948445200000388000004ec0806000000c272ac0c0001000049444154789cecfd67b465c975
File126,PNG,E:\Users\dchoi\Documents\File\File126,89504e470d0a1a0a0000000d4948445200000388000004ec0806000000c272ac0c0001000049444154789cecfd77b025c979
File184,PNG,E:\Users\dchoi\Documents\File\File184,89504e470d0a1a0a0000000d4948445200000388000004ec0806000000c272ac0c0001000049444154789cecfdf98f245b96
File190,PNG,E:\Users\dchoi\Documents\File\File190,89504e470d0a1a0a0000000d4948445200000388000004ec0806000000c272ac0c0001000049444154789cecfde9b36dc775
File218,PNG,E:\Users\dchoi\Documents\File\File218,89504e470d0a1a0a0000000d4948445200000388000004ec0806000000c272ac0c0001000049444154789cecfd69b06dc975
File045,JPEG,E:\Users\dchoi\Documents\File\File045,ffd8ffe100104a46494600010100000100010000ffdb004300080606070605080707070909080a0c140d0c0b0b0c1912130f
File052,JPEG,E:\Users\dchoi\Documents\File\File052,ffd8ffe000104a46494600010100000100010000ffdb004300080606070605080707070909080a0c140d0c0b0b0c1912130f
File053,JPEG,E:\Users\dchoi\Documents\File\File053,ffd8ffe000104a46494600010100000100010000ffdb004300080606070605080707070909080a0c140d0c0b0b0c1912130f
File073,JPEG,E:\Users\dchoi\Documents\File\File073,ffd8ffe000104a46494600010100000100010000ffdb004300080606070605080707070909080a0c140d0c0b0b0c1912130f
File078,JPEG,E:\Users\dchoi\Documents\File\File078,ffd8ffe000104a46494600010100000100010000ffdb004300080606070605080707070909080a0c140d0c0b0b0c1912130f
File089,JPEG,E:\Users\dchoi\Documents\File\File089,ffd8ffe000104a46494600010100000100010000ffdb004300080606070605080707070909080a0c140d0c0b0b0c1912130f
File090,JPEG,E:\Users\dchoi\Documents\File\File090,ffd8ffe000104a46494600010100000100010000ffdb004300080606070605080707070909080a0c140d0c0b0b0c1912130f
File107,JPEG,E:\Users\dchoi\Documents\File\File107,ffd8ffe000104a46494600010100000100010000ffdb004300080606070605080707070909080a0c140d0c0b0b0c1912130f
File113,JPEG,E:\Users\dchoi\Documents\File\File113,ffd8ffe000104a46494600010100000100010000ffdb004300080606070605080707070909080a0c140d0c0b0b0c1912130f
File124,JPEG,E:\Users\dchoi\Documents\File\File124,ffd8ffe000104a46494600010100000100010000ffdb004300080606070605080707070909080a0c140d0c0b0b0c1912130f
File127,JPEG,E:\Users\dchoi\Documents\File\File127,ffd8ffe000104a46494600010100000100010000ffdb004300080606070605080707070909080a0c140d0c0b0b0c1912130f
File133,JPEG,E:\Users\dchoi\Documents\File\File133,ffd8ffe000104a46494600010100000100010000ffdb004300080606070605080707070909080a0c140d0c0b0b0c1912130f
File140,JPEG,E:\Users\dchoi\Documents\File\File140,ffd8ffe000104a46494600010100000100010000ffdb004300080606070605080707070909080a0c140d0c0b0b0c1912130f
File143,JPEG,E:\Users\dchoi\Documents\File\File143,ffd8ff0000000d4948445200000388000004ec0806000000c272ac0c0001000049444154789cecfd599324499226887dcc22
File152,JPEG,E:\Users\dchoi\Documents\File\File152,ffd8ffe000104a46494600010100000100010000ffdb004300080606070605080707070909080a0c140d0c0b0b0c1912130f
File163,JPEG,E:\Users\dchoi\Documents\File\File163,ffd8ffe000104a46494600010100000100010000ffdb004300080606070605080707070909080a0c140d0c0b0b0c1912130f
File205,JPEG,E:\Users\dchoi\Documents\File\File205,ffd8ffe000104a46494600010100000100010000ffdb004300080606070605080707070909080a0c140d0c0b0b0c1912130f
File214,JPEG,E:\Users\dchoi\Documents\File\File214,ffd8ffe000104a46494600010100000100010000ffdb004300080606070605080707070909080a0c140d0c0b0b0c1912130f
File219,JPEG,E:\Users\dchoi\Documents\File\File219,ffd8ffe000104558494600010100000100010000ffdb004300080606070605080707070909080a0c140d0c0b0b0c1912130f
File006,ZIP,E:\Users\dchoi\Documents\File\File006,504b03040a000000000000002100ffffffff1102000011020000100000005b74726173685d2f303030302e646174ffffffff
File007,ZIP,E:\Users\dchoi\Documents\File\File007,504b030414000600080000002100d4a2463fd9010000ec0900001300d3015b436f6e74656e745f54797065735d2e786d6c20
File010,ZIP,E:\Users\dchoi\Documents\File\File010,504b0304140006000800000021003cf321f4570200009f1600001300c0015b436f6e74656e745f54797065735d2e786d6c20
File011,ZIP,E:\Users\dchoi\Documents\File\File011,504b03040a000000000000002100ffffffff0f0200000f020000100000005b74726173685d2f303030302e646174ffffffff
File012,ZIP,E:\Users\dchoi\Documents\File\File012,504b03041400060008000000210004e86306f70100009b0a0000130008025b436f6e74656e745f54797065735d2e786d6c20
File014,ZIP,E:\Users\dchoi\Documents\File\File014,504b030414000600080000002100e4a7b06feb010000350d0000130008025b436f6e74656e745f54797065735d2e786d6c20
File017,ZIP,E:\Users\dchoi\Documents\File\File017,504b03040a000000000000002100ffffffff0d0200000d020000100000005b74726173685d2f303030302e646174ffffffff
File030,ZIP,E:\Users\dchoi\Documents\File\File030,504b03040a000000000000002100ffffffff6402000064020000100000005b74726173685d2f303030302e646174ffffffff
File031,ZIP,E:\Users\dchoi\Documents\File\File031,504b0304140006000800000021009884f0a8eb010000220a00001300ca015b436f6e74656e745f54797065735d2e786d6c20
File032,ZIP,E:\Users\dchoi\Documents\File\File032,504b030414000600080000002100e679a397ba0100007d0d0000130008025b436f6e74656e745f54797065735d2e786d6c20
File035,ZIP,E:\Users\dchoi\Documents\File\File035,504b030414000000080000002100610dd4924202000075140000130000005b436f6e74656e745f54797065735d2e786d6ccc
File037,ZIP,E:\Users\dchoi\Documents\File\File037,504b03040a000000000000002100ffffffff3502000035020000100000005b74726173685d2f303030302e646174ffffffff
File043,ZIP,E:\Users\dchoi\Documents\File\File043,504b03041400020008004a247659fb70553b11530000494e030011001100776f72642f646f63756d656e742e786d6c55540d
File056,ZIP,E:\Users\dchoi\Documents\File\File056,504b03040a000000000000002100fffffffff3010000f3010000100000005b74726173685d2f303030302e646174ffffffff
File074,ZIP,E:\Users\dchoi\Documents\File\File074,504b03040a000000000000002100ffffffff2d0200002d020000100000005b74726173685d2f303030302e646174ffffffff
File076,ZIP,E:\Users\dchoi\Documents\File\File076,504b0304140008080800ab0b765900000000000000000000000010000000776f72642f686561646572312e786d6ccd96db8e
File085,ZIP,E:\Users\dchoi\Documents\File\File085,504b030414000600080000002100b5cf3e7b02010000bb0200000b00ed015f72656c732f2e72656c7320a2e90128a0000200
File087,ZIP,E:\Users\dchoi\Documents\File\File087,504b0304140006000800000021008fbff13623040000c54e0000130008025b436f6e74656e745f54797065735d2e786d6c20
File093,ZIP,E:\Users\dchoi\Documents\File\File093,504b0304140006000800000021009d7c732ae3010000b50c0000130008025b436f6e74656e745f54797065735d2e786d6c20
File094,ZIP,E:\Users\dchoi\Documents\File\File094,504b03041400060008000000210081717d3cf8010000ba0c00001300cd015b436f6e74656e745f54797065735d2e786d6c20
File096,ZIP,E:\Users\dchoi\Documents\File\File096,504b030414000600080000002100d571953ee10100007a090000130008025b436f6e74656e745f54797065735d2e786d6c20
File100,ZIP,E:\Users\dchoi\Documents\File\File100,504b0304140006000800000021001e27607088010000ae050000130008025b436f6e74656e745f54797065735d2e786d6c20
File104,ZIP,E:\Users\dchoi\Documents\File\File104,504b0304140006000800000021002b54510ed9020000a62400001300ba015b436f6e74656e745f54797065735d2e786d6c20
File111,ZIP,E:\Users\dchoi\Documents\File\File111,504b030414000600080000002100458c023abc010000640800001300dc015b436f6e74656e745f54797065735d2e786d6c20
File116,ZIP,E:\Users\dchoi\Documents\File\File116,504b0304140006000800000021007476540cd00100006c0b0000130008025b436f6e74656e745f54797065735d2e786d6c20
File117,ZIP,E:\Users\dchoi\Documents\File\File117,504b0304140006000800000021009cbd3ce3ce010000c40b0000130008025b436f6e74656e745f54797065735d2e786d6c20
File121,ZIP,E:\Users\dchoi\Documents\File\File121,504b0304140006000800000021009f04c7c538020000541000001300c2015b436f6e74656e745f54797065735d2e786d6c20
File122,ZIP,E:\Users\dchoi\Documents\File\File122,504b030414000808080048a5755900000000000000000000000012000000776f72642f6e756d626572696e672e786d6ced9b
File130,ZIP,E:\Users\dchoi\Documents\File\File130,504b0304140006000800000021003d578734c6010000bf080000130008025b436f6e74656e745f54797065735d2e786d6c20
File131,ZIP,E:\Users\dchoi\Documents\File\File131,504b030414000600080000002100a674045285010000ac070000130008025b436f6e74656e745f54797065735d2e786d6c20
File134,ZIP,E:\Users\dchoi\Documents\File\File134,504b0304140006000800000021003d578734c6010000bf080000130008025b436f6e74656e745f54797065735d2e786d6c20
File142,ZIP,E:\Users\dchoi\Documents\File\File142,504b03040a00000008000000210003e47bfec703000091130000140000007070742f70726573656e746174696f6e2e786d6c
File144,ZIP,E:\Users\dchoi\Documents\File\File144,504b03040a000000000000002100ffffffff1c0200001c020000100000005b74726173685d2f303030302e646174ffffffff
File145,ZIP,E:\Users\dchoi\Documents\File\File145,504b030414000600080000002100ffbf187a2e020000570d00001300c2015b436f6e74656e745f54797065735d2e786d6c20
File149,ZIP,E:\Users\dchoi\Documents\File\File149,504b0304140008080800ce13765900000000000000000000000010000000776f72642f666f6f746572312e786d6ced57ff6e
File150,ZIP,E:\Users\dchoi\Documents\File\File150,504b03040a000000000000002100ffffffff2002000020020000100000005b74726173685d2f303030302e646174ffffffff
File151,ZIP,E:\Users\dchoi\Documents\File\File151,504b030414000600080000002100b7bbc7dca402000000250000130008025b436f6e74656e745f54797065735d2e786d6c20
File153,ZIP,E:\Users\dchoi\Documents\File\File153,504b0304140008080800babb755500000000000000000000000010000000786c2f636f6d6d656e7473312e786d6c8d53cb6e
File161,ZIP,E:\Users\dchoi\Documents\File\File161,504b030414000600080000002100b5cf3e7b02010000bb0200000b0008025f72656c732f2e72656c7320a2040228a0000200
File162,ZIP,E:\Users\dchoi\Documents\File\File162,504b030414000600080000002100a404cfe97101000098050000130008025b436f6e74656e745f54797065735d2e786d6c20
File170,ZIP,E:\Users\dchoi\Documents\File\File170,504b030414000600080000002100c3aa5d0e8d020000581d0000130008025b436f6e74656e745f54797065735d2e786d6c20
File171,ZIP,E:\Users\dchoi\Documents\File\File171,504b03041400060008000000210033a54b358a01000099050000130008025b436f6e74656e745f54797065735d2e786d6c20
File181,ZIP,E:\Users\dchoi\Documents\File\File181,504b0304140000080800423d3c5a479244b25a010000f0040000130004005b436f6e74656e745f54797065735d2e786d6c53
File183,ZIP,E:\Users\dchoi\Documents\File\File183,504b0304140006000800000021001cadb2d2fa0100006d0b0000130008025b436f6e74656e745f54797065735d2e786d6c20
File185,ZIP,E:\Users\dchoi\Documents\File\File185,504b0304140006000800000021009634826862020000281800001300c5015b436f6e74656e745f54797065735d2e786d6c20
File187,ZIP,E:\Users\dchoi\Documents\File\File187,504b030414000600080000002100b5f6d3968d01000021070000130008025b436f6e74656e745f54797065735d2e786d6c20
File189,ZIP,E:\Users\dchoi\Documents\File\File189,504b030414000600080000002100885e620bca010000220a0000130008025b436f6e74656e745f54797065735d2e786d6c20
File191,ZIP,E:\Users\dchoi\Documents\File\File191,504b03041400060008000000210058793607df010000230a0000130008025b436f6e74656e745f54797065735d2e786d6c20
File193,ZIP,E:\Users\dchoi\Documents\File\File193,504b03040a000000000000002100ffffffff0c0200000c020000100000005b74726173685d2f303030302e646174ffffffff
File194,ZIP,E:\Users\dchoi\Documents\File\File194,504b0304140006000800000021003e1188ca6002000047190000130008025b436f6e74656e745f54797065735d2e786d6c20
File196,ZIP,E:\Users\dchoi\Documents\File\File196,504b03041400060008000000210062ee9d685e01000090040000130008025b436f6e74656e745f54797065735d2e786d6c20
File197,ZIP,E:\Users\dchoi\Documents\File\File197,504b0304140008080800d241755900000000000000000000000010000000776f72642f686561646572312e786d6ca595db8e
File198,ZIP,E:\Users\dchoi\Documents\File\File198,504b03041400060008000000210099557e05f9000000e10200000b00f3015f72656c732f2e72656c7320a2ef0128a0000200
File206,ZIP,E:\Users\dchoi\Documents\File\File206,504b03041400060008000000210024ec50bf8201000024070000130008025b436f6e74656e745f54797065735d2e786d6c20
File208,ZIP,E:\Users\dchoi\Documents\File\File208,504b030414000600080000002100e4a7b06feb010000350d0000130008025b436f6e74656e745f54797065735d2e786d6c20
File210,ZIP,E:\Users\dchoi\Documents\File\File210,504b03040a000000080000002100fc1fed11250200004305000010000000646f6350726f70732f6170702e786d6c9c54df6f
